|        Name | active |           RA |          Dec |  Discovery |       V |  date_Vmax |  Vmax |           Type |         z | asassn | flcogt | fnorth | fswift | psf | stop_all |
|     2019bzd |      0 | 14:47:32.070 | -19:45:57.80 | 2019-03-15 |    15.5 | 2019-03-20 |  16.1 |            IIP |  0.008659 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019bpt |      0 | 12:22:06.940 | +09:03:25.22 | 2019-03-07 |    19.2 | 2019-03-11 |  17.3 |            unk |    0.0036 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019bpu |      0 | 08:44:06.240 | +49:47:37.70 | 2019-03-06 |    17.2 | 2019-03-16 |  13.3 |            unk |     0.006 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019bip |      0 | 10:32:32.966 | -19:04:31.33 | 2019-03-01 |   17.06 | 2019-03-05 |  17.0 |            IIP |      0.01 |      1 |      0 |      0 |      0 |   0 |        0 |
|     2019bia |      0 | 09:32:44.100 | +21:27:37.70 | 2019-02-27 |    18.5 |        --- |  99.9 |            unk |    0.0017 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019bdq |      0 | 11:40:47.520 | +17:47:31.20 | 2019-02-26 |    19.2 | 2019-03-02 |  18.9 |            unk |  0.011658 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019bjm |      0 | 04:07:46.216 | -29:51:34.10 | 2019-03-01 |  16.735 | 2019-03-13 |  15.9 |             Ia |   0.01378 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019bao |      0 | 10:29:18.522 | +06:07:21.83 | 2019-02-24 |    18.1 | 2019-03-02 |  17.1 |         II-pec |  0.011885 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019axz |      0 | 14:30:16.704 | -43:33:41.09 | 2019-02-17 |  17.831 | 2019-03-15 |  17.2 |             II |  0.014870 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019avm |      0 | 07:10:30.712 | +61:47:10.06 | 2019-02-12 |   18.77 |        --- |  99.9 |            unk |  0.012055 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019aur |      0 | 03:01:10.424 | +41:23:45.96 | 2019-02-12 |  18.503 |        --- |  99.9 |            unk |  0.012369 |      0 |      0 |      0 |      0 |   0 |        0 |
|     2019arb |      0 | 12:19:31.228 | +49:48:50.97 | 2019-02-08 |   16.56 | 2016-12-16 |  13.8 |        Ia-91bg |  0.013696 |      0 |      1 |      0 |      0 |   1 |        0 |
